,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
Rk,Tm,G,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Green Bay Packers,3,44,697,187,3.7,2,0,46,76,117,504,3,2,4.0,30,60,193,1,3.2,10,20,160,6,30.0,6.7,19.44
2,Seattle Seahawks,3,47,935,201,4.7,5,0,58,74,111,665,4,5,5.7,33,84,270,0,3.2,17,22,153,8,28.6,14.3,2.69
3,San Francisco 49ers,3,49,797,181,4.4,3,3,51,63,92,486,4,0,5.0,26,84,311,1,3.7,19,16,105,6,29.0,9.7,-0.11
4,Los Angeles Chargers,3,50,830,171,4.9,3,0,42,62,107,546,2,3,4.8,22,57,284,2,5.0,16,25,208,4,40.0,10.0,10.68
5,Arizona Cardinals,3,51,1022,208,4.9,3,1,66,89,142,793,4,2,5.4,45,61,229,1,3.8,13,25,241,8,36.7,10.0,-0.53
6,Jacksonville Jaguars,3,51,876,185,4.7,9,2,52,71,118,628,5,7,5.1,33,61,248,1,4.1,12,14,130,7,26.5,26.5,15.02
7,Houston Texans,3,51,947,195,4.9,2,1,60,66,107,620,3,1,5.3,35,79,327,4,4.1,17,23,175,8,25.0,6.3,-7.26
8,Carolina Panthers,3,53,1003,177,5.7,5,1,52,59,99,590,2,4,5.9,30,77,413,2,5.4,21,26,212,1,34.5,17.2,1.34
9,Minnesota Vikings,3,56,814,178,4.6,7,5,51,53,83,424,2,2,4.6,21,86,390,2,4.5,22,21,201,8,30.6,19.4,36.82
10,Indianapolis Colts,3,56,817,165,5.0,5,1,56,64,99,535,5,4,5.0,31,59,282,2,4.8,18,19,166,7,36.0,20.0,-8.25
11,Kansas City Chiefs,3,56,891,181,4.9,2,0,57,58,88,549,3,2,5.8,27,86,342,3,4.0,23,19,179,7,40.7,7.4,-5.43
12,Washington Commanders,3,57,989,187,5.3,,0,56,55,97,687,5,0,6.5,35,81,302,1,3.7,15,22,166,6,33.3,0.0,-3.80
13,Atlanta Falcons,3,59,682,157,4.3,5,3,41,44,77,393,3,2,4.6,24,72,289,2,4.0,15,19,165,2,37.9,10.3,4.75
14,Los Angeles Rams,3,61,805,184,4.4,4,3,55,59,92,496,4,1,4.8,26,80,309,1,3.9,23,26,192,6,36.7,13.3,6.14
15,Philadelphia Eagles,3,63,957,179,5.3,3,1,61,56,97,557,3,2,5.6,26,79,400,3,5.1,27,14,128,8,46.4,10.7,-13.44
16,Denver Broncos,3,64,982,202,4.9,4,3,62,63,109,638,2,1,5.3,38,81,344,2,4.2,14,27,224,10,45.7,8.6,3.31
17,Tampa Bay Buccaneers,3,66,891,180,5.0,2,1,56,66,102,639,4,1,5.8,36,70,252,2,3.6,12,21,181,8,38.7,6.5,1.10
18,Cleveland Browns,3,68,613,163,3.8,1,0,39,51,77,441,6,1,5.0,25,75,172,1,2.3,9,27,136,5,34.4,3.1,8.06
19,New England Patriots,3,68,950,163,5.8,3,0,54,66,89,769,5,3,7.8,37,65,181,2,2.8,11,27,201,6,36.7,10.0,-15.09
20,Buffalo Bills,3,71,862,156,5.5,3,2,49,46,75,394,5,1,4.9,24,75,468,4,6.2,23,18,143,2,40.0,10.0,-16.60
21,Las Vegas Raiders,3,74,1053,177,5.9,3,2,50,64,94,711,4,1,7.0,30,76,342,3,4.5,16,21,157,4,39.4,9.1,-17.58
22,Pittsburgh Steelers,3,77,1158,197,5.9,8,5,70,66,92,740,5,3,7.4,35,97,418,4,4.3,31,16,138,4,40.0,23.3,-13.61
23,Detroit Lions,3,78,923,165,5.6,3,2,54,58,83,626,7,1,6.7,33,71,297,3,4.2,15,15,100,6,41.9,9.7,-17.33
24,New York Giants,3,83,1216,215,5.7,1,0,79,79,119,756,4,1,6.0,42,88,460,5,5.2,25,32,280,12,47.1,2.9,-48.46
25,New Orleans Saints,3,90,940,183,5.1,2,2,64,63,89,630,7,0,6.5,37,86,310,2,3.6,17,22,164,10,50.0,6.7,-23.89
26,Cincinnati Bengals,3,91,1079,199,5.4,4,0,65,71,111,722,6,4,6.2,38,82,357,3,4.4,20,26,213,7,41.2,11.8,-16.34
27,Dallas Cowboys,3,92,1193,184,6.5,1,0,61,68,92,864,7,1,9.0,32,88,329,4,3.7,27,29,311,2,53.3,3.3,-47.78
28,New York Jets,3,93,1021,189,5.4,,0,63,56,86,622,5,0,6.8,35,97,399,3,4.1,18,24,219,10,54.5,0.0,-26.50
29,Chicago Bears,3,93,1161,174,6.7,5,1,62,70,93,743,8,4,7.6,34,76,418,3,5.5,22,15,103,6,45.7,14.3,-25.58
30,Tennessee Titans,3,94,1121,183,6.1,5,2,64,66,98,684,4,3,6.8,31,83,437,6,5.3,22,14,97,11,47.1,11.8,-28.60
31,Baltimore Ravens,3,96,1245,216,5.8,2,1,70,81,122,798,5,1,6.4,39,91,447,7,4.9,28,19,148,3,48.6,5.7,-29.74
32,Miami Dolphins,3,97,1111,182,6.1,,0,68,63,80,676,6,0,7.9,35,96,435,4,4.5,27,19,155,6,68.0,0.0,-49.57
,Avg Team,,68.7,955.7,183.3,5.2,3.3,1.3,57.3,63.9,98.0,622.7,4.4,2.0,5.9,32.0,78.2,333.0,2.6,4.3,18.9,21.3,173.5,6.4,40.0,10.0,-9.6
,League Total,,2199,30581,5864,5.2,105,42,1834,2046,3137,19926,142,63,5.9,1025,2503,10655,84,4.3,605,683,5551,204,40.0,10.0,
,Avg Tm/G,,22.9,318.6,61.1,5.2,1.1,0.4,19.1,21.3,32.7,207.6,1.5,0.7,5.9,10.7,26.1,111.0,0.9,4.3,6.3,7.1,57.8,2.1,40.0,10.0,
